id,key,value,type
8927572,cfcc,A41,tiger
8927572,county,"Santa Clara, CA",tiger
8927682,bicycle,no,regular
8927682,destination,Oakland;San Jose,regular
8927682,ref,CA 237 East;US 101 South,destination
8927682,highway,motorway_link,regular
8927682,lanes,1,regular
8927682,oneway,yes,regular
8927682,cfcc,A63,tiger
8927682,county,"Santa Clara, CA",tiger
8927682,reviewed,no,tiger
8927682,lanes,through,turn
8927749,bicycle,no,regular
8927749,destination,San Jose,regular
8927749,ref,US 101 South,destination
8927749,highway,motorway_link,regular
8927749,hov,lane,regular
8927749,lanes,designated|,hov
8927749,lanes,2,regular
8927749,oneway,yes,regular
8927749,cfcc,A63,tiger
8927749,county,"Santa Clara, CA",tiger
8927749,reviewed,no,tiger
8927841,highway,residential,regular
8927841,name,Robin Way,regular
8927841,surface,asphalt,regular
8927841,cfcc,A41,tiger
8927841,county,"Santa Clara, CA",tiger
8927841,name_base,Robin,tiger
8927841,name_type,Way,tiger
8927843,highway,residential,regular
8927843,lanes,2,regular
8927843,maxspeed,25 mph,regular
8927843,name,Robin Way,regular
8927843,maxspeed,sign,source
8927843,surface,asphalt,regular
8927843,cfcc,A41,tiger
8927843,county,"Santa Clara, CA",tiger
8927843,name_base,Robin,tiger
8927843,name_type,Way,tiger
8927844,highway,residential,regular
8927844,lanes,2,regular
8927844,name,Robin Way,regular
8927844,surface,asphalt,regular
8927844,cfcc,A41,tiger
8927844,county,"Santa Clara, CA",tiger
8927844,name_base,Robin,tiger
8927844,name_type,Way,tiger
8927848,highway,residential,regular
8927848,lanes,2,regular
8927848,name,Robin Way,regular
8927848,surface,asphalt,regular
8927848,cfcc,A41,tiger
8927848,county,"Santa Clara, CA",tiger
8927848,name_base,Robin,tiger
8927848,name_type,Way,tiger
8927857,highway,residential,regular
8927857,name,Tripiano Court,regular
8927857,surface,paved,regular
8927857,cfcc,A41,tiger
8927857,county,"Santa Clara, CA",tiger
8927857,name_base,Tripiano,tiger
8927857,name_type,Ct,tiger
8927857,reviewed,no,tiger
8927862,highway,residential,regular
8927862,name,Valley View Drive,regular
8927862,cfcc,A41,tiger
8927862,county,"Santa Clara, CA",tiger
8927862,name_base,Valley View,tiger
8927862,name_type,Dr,tiger
8927862,reviewed,no,tiger
8927866,both,no,cycleway
8927866,highway,residential,regular
8927866,lanes,2,regular
8927866,name,Pettis Avenue,regular
8927866,surface,asphalt,regular
8927866,county,"Santa Clara, CA",tiger
8927866,name_base,Pettis,tiger
8927866,name_type,Ave,tiger
8927881,highway,service,regular
8927881,name,Farrel Court,regular
8927887,highway,residential,regular
8927887,name,Otis Way,regular
8927887,cfcc,A41,tiger
8927887,county,"Santa Clara, CA",tiger
8927887,name_base,Otis,tiger
8927887,name_type,Way,tiger
8928063,highway,residential,regular
8928063,name,Woodleaf Way,regular
8928063,surface,paved,regular
8928063,cfcc,A41,tiger
8928063,county,"Santa Clara, CA",tiger
8928063,name_base,Woodleaf,tiger
8928063,name_type,Ct,tiger
8928063,reviewed,no,tiger
8928169,highway,residential,regular
8928169,name,Yorkshire Way,regular
8928169,surface,paved,regular
8928169,cfcc,A41,tiger
8928169,county,"Santa Clara, CA",tiger
8928169,name_base,Yorkshire,tiger
8928169,name_type,Way,tiger
8928169,reviewed,no,tiger
8928231,access,private,regular
8928231,highway,service,regular
8928231,lit,yes,regular
8928231,name,Serra San Bruno,regular
8928231,surface,concrete,regular
8928231,cfcc,A41,tiger
8928231,county,"Santa Clara, CA",tiger
8928231,name_base,Sierra San Bruno,tiger
8928231,reviewed,no,tiger
8928242,highway,residential,regular
8928242,name,Laura Lane,regular
8928242,county,"Santa Clara, CA",tiger
8928251,highway,residential,regular
8928251,maxspeed,25 mph,regular
8928251,name,Altamead Drive,regular
8928251,cfcc,A41,tiger
8928251,county,"Santa Clara, CA",tiger
8928251,name_base,Altamead,tiger
8928251,name_type,Dr,tiger
8928251,reviewed,no,tiger
8928267,highway,residential,regular
